user_id,frequency,recency,monetary,frequency_pct_rank,recency_pct_rank,monetary_pct_rank,frequency_quantile,recency_quantile,monetary_quantile,recency_score,frequency_score,monetary_score,rfm_score,rfm_segment,age,gender,country,traffic_source
87376,2,982,40.789999961853027,0.8779349569782704,0.15549803120898353,0.33622575470322297,4,1,2,1,2,2,122,Lost Medium-High Value Customers,20,F,South Korea,Search
2920,2,804,201.0,0.8779349569782704,0.2220358757474114,0.88245588449759371,4,1,4,1,2,4,124,Lost Medium-High Value Customers,15,M,United States,Organic
28074,3,126,134.95999908447266,0.98672889018521215,0.73260901268776435,0.76731806912644018,4,3,4,3,3,3,333,Champions,64,M,China,Search
62166,2,1438,43.899999618530273,0.8779349569782704,0.04772495260317923,0.35390841475864082,4,1,2,1,2,2,122,Lost Medium-High Value Customers,50,F,Brasil,Search
88968,2,949,384.0,0.8779349569782704,0.16625346361382529,0.97735890331048558,4,1,4,1,2,4,124,Lost Medium-High Value Customers,55,F,China,Email
42236,3,593,136.96999931335449,0.98672889018521215,0.32729327694326965,0.7718389966457635,4,2,4,2,3,3,233,Lost Medium-High Value Customers,21,F,Germany,Search
55132,3,397,358.98999786376953,0.98672889018521215,0.45453551115648244,0.97170774391133152,4,2,4,2,3,4,234,Lost Medium-High Value Customers,51,M,Brasil,Search
44815,3,86,140.88000106811523,0.98672889018521215,0.79345923873414026,0.78237567449321865,4,4,4,4,3,3,433,Champions,20,F,United Kingdom,Search
28403,3,42,280.94000053405762,0.98672889018521215,0.87009625200525009,0.94392591512323176,4,4,4,4,3,4,434,Champions,13,M,United States,Organic
55555,2,961,210.6899995803833,0.8779349569782704,0.16220650430217295,0.89200816683680906,4,1,4,1,2,4,124,Lost Medium-High Value Customers,56,M,United States,Search
57756,2,797,311.88999938964844,0.8779349569782704,0.22495260317923291,0.95818142044625931,4,1,4,1,2,4,124,Lost Medium-High Value Customers,35,M,Brasil,Display
93129,2,703,28.399999618530273,0.8779349569782704,0.26917748286422633,0.21445238442467551,4,2,1,2,2,1,221,Lost Lower Value Customers,60,F,China,Search
70603,3,103,237.62000179290771,0.98672889018521215,0.76604200087501828,0.91461280443342574,4,4,4,4,3,4,434,Champions,35,M,Brasil,Search
51689,3,39,313.07000160217285,0.98672889018521215,0.875638034125711,0.95861892956103256,4,4,4,4,3,4,434,Champions,26,M,United Kingdom,Search
60609,3,25,471.59999752044678,0.98672889018521215,0.90575324485926789,0.98877059938748724,4,4,4,4,3,4,434,Champions,23,M,China,Facebook
45929,2,1206,54.880000114440918,0.8779349569782704,0.09151232317339944,0.44246755140732097,4,1,2,1,2,2,122,Lost Medium-High Value Customers,65,M,Brasil,Search
63793,2,1137,213.9900016784668,0.8779349569782704,0.10977832871518156,0.8948884351757328,4,1,4,1,2,4,124,Lost Medium-High Value Customers,50,M,China,Organic
25299,2,1019,269.9400007724762,0.8779349569782704,0.14332069418112878,0.93831121481697533,4,1,4,1,2,4,124,Lost Medium-High Value Customers,38,F,China,Search
54860,2,915,210.96999931335449,0.8779349569782704,0.17744640513344029,0.89222692139419568,4,1,4,1,2,4,124,Lost Medium-High Value Customers,24,M,United Kingdom,Search
90122,3,257,340.25999927520752,0.98672889018521215,0.57933498614554468,0.96682222546303043,4,3,4,3,3,4,334,Champions,43,F,China,Search
82339,3,211,140.98000335693359,0.98672889018521215,0.629721452530261,0.78270380632929848,4,3,4,3,3,3,333,Champions,31,M,Japan,Search
56546,3,177,169.96999931335449,0.98672889018521215,0.6702639638325798,0.83691847746828063,4,3,4,3,3,3,333,Champions,65,F,Brasil,Email
6577,3,11,210.13999557495117,0.98672889018521215,0.94133731952749011,0.89168003500072923,4,4,4,4,3,4,434,Champions,20,M,United States,Search
27847,2,1081,251.97000694274902,0.8779349569782704,0.12560157503281319,0.92737348694764477,4,1,4,1,2,4,124,Lost Medium-High Value Customers,26,M,Brasil,Facebook
70158,2,1050,257.9900016784668,0.8779349569782704,0.13442467551407322,0.93098293714452385,4,1,4,1,2,4,124,Lost Medium-High Value Customers,56,M,United Kingdom,Search
72063,2,808,237.69999694824219,0.8779349569782704,0.22032229838121628,0.91464926352632347,4,1,4,1,2,4,124,Lost Medium-High Value Customers,39,M,United States,Search
40800,2,777,37.0,0.8779349569782704,0.23326527635992417,0.29932915269068106,4,1,2,1,2,2,122,Lost Medium-High Value Customers,18,M,Australia,Search
23947,4,658,396.88999938964844,0.99916144086335135,0.29185503864663848,0.97987458072043165,4,2,4,2,4,4,244,Lost Medium-High Value Customers,45,F,United Kingdom,Search
3487,3,300,228.90999984741211,0.98672889018521215,0.53886539302902148,0.907940790433134,4,3,4,3,3,4,334,Champions,50,M,United States,Search
79427,2,27,12.789999723434448,0.8779349569782704,0.90105002187545569,0.049912498177045357,4,4,1,4,2,1,421,Price Sensitive Customers,13,M,China,Search
28772,3,8,269.25,0.98672889018521215,0.94917602450051042,0.93791016479509992,4,4,4,4,3,4,434,Champions,37,M,China,Display
16021,3,4,62.590000152587891,0.98672889018521215,0.962337757036605,0.49763015896164503,4,4,2,4,3,2,432,Loyal Customers,48,F,China,Organic
4198,2,858,683.07998275756836,0.8779349569782704,0.1997958290797725,0.99588012250255209,4,1,4,1,2,4,124,Lost Medium-High Value Customers,60,M,China,Organic
78465,2,770,52.670000076293945,0.8779349569782704,0.23621846288464343,0.43098293714452385,4,1,2,1,2,2,122,Lost Medium-High Value Customers,54,F,Brasil,Search
68967,3,273,306.73000550270081,0.98672889018521215,0.56362111710660634,0.95610325215108649,4,3,4,3,3,4,334,Champions,43,F,China,Organic
46260,3,194,284.35999870300293,0.98672889018521215,0.64984687180982936,0.94538427883914244,4,3,4,3,3,4,334,Champions,40,F,Australia,Search
99179,3,177,483.57999801635742,0.98672889018521215,0.6702639638325798,0.9897185358028292,4,3,4,3,3,4,334,Champions,49,M,China,Facebook
